tactic_id,technique_id,id2
6,252,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63
3,253,attack-pattern--9c306d8d-cde7-4b4c-b6e8-d0bb16caca36
4,254,attack-pattern--fe926152-f431-4baf-956c-4ad3cb0bf23b
12,255,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839
10,256,attack-pattern--9db0cf3a-a3c9-4012-8268-123b9db6fd82
11,261,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d
9,261,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d
2,264,attack-pattern--f24faf46-3b26-4dbb-98f2-63460498e433
5,270,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18
4,271,attack-pattern--65917ae0-b854-4139-83fe-bf2441cf0196
8,273,attack-pattern--f5bb433e-bdf6-4781-84bc-35e97e43be89
3,274,attack-pattern--b77cf5f3-6060-475d-bd60-40ccbf28fdc2
3,275,attack-pattern--94cb00a4-b295-4d06-aa2b-5653b9c1be9c
13,279,attack-pattern--09312b1a-c3c6-4b45-9844-3ccc78e5d82f
13,280,attack-pattern--5282dd9a-d26d-4e16-88b7-7c0f4553daf4
13,281,attack-pattern--9d48cab2-7929-4812-ad22-f536665f0109
13,282,attack-pattern--937e4772-8441-4e4a-8bf0-8d447d667e23
5,285,attack-pattern--1b20efbf-8063-4fc3-a07d-b575318a301b
9,291,attack-pattern--d40239b3-05ff-46d8-9bdd-b46d13463ef9
4,299,attack-pattern--22905430-4901-4c2a-84f6-98243cb173f8
11,300,attack-pattern--aedfca76-3b30-4866-b2aa-0f1d7fd1e4b6
12,300,attack-pattern--aedfca76-3b30-4866-b2aa-0f1d7fd1e4b6
4,300,attack-pattern--aedfca76-3b30-4866-b2aa-0f1d7fd1e4b6
4,310,attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529
11,311,attack-pattern--4fd8a28b-4b3a-4cd6-a8cf-85ba5f824a7f
4,316,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
4,317,attack-pattern--3b0e52ce-517a-4614-a523-1bd5deef6c5e
2,318,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
8,319,attack-pattern--f5d8eed6-48a9-4cdf-a3d7-d1ffa99c3d2a
1,320,attack-pattern--bb5a00de-e086-4859-a231-fa793f6797e2
3,320,attack-pattern--bb5a00de-e086-4859-a231-fa793f6797e2
6,327,attack-pattern--acd0ba37-7ba9-4cc5-ac61-796586cd856d
10,330,attack-pattern--9e7452df-5144-4b6e-b04a-b66dd4016747
10,351,attack-pattern--bf90d72c-c00b-45e3-b3aa-68560560d4c5
4,384,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
3,387,attack-pattern--f4c1826f-a322-41cd-9557-562100848c84
4,387,attack-pattern--f4c1826f-a322-41cd-9557-562100848c84
11,387,attack-pattern--f4c1826f-a322-41cd-9557-562100848c84
4,388,attack-pattern--144e007b-e638-431d-a894-45d90c54ab90
4,390,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4
4,391,attack-pattern--ae7f3575-0a5e-427e-991b-fe03ad44c754
2,395,attack-pattern--84e02621-8fdf-470f-bd58-993bb6a89d91
6,403,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670
4,407,attack-pattern--b8017880-4b1e-42de-ad10-ae7ac6705166
8,408,attack-pattern--d74c4a7e-ffbf-432f-9365-7ebf1f787cab
5,414,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88
5,417,attack-pattern--3489cfc5-640f-4bb3-a103-9137b97de79f
3,418,attack-pattern--3257eb21-f9a7-4430-8de1-d8b6e288f529
5,418,attack-pattern--3257eb21-f9a7-4430-8de1-d8b6e288f529
2,422,attack-pattern--c21d5a77-d422-4a69-acd7-2c53c1faa34b
2,424,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18
3,425,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22
4,427,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
14,428,attack-pattern--ce0687a0-e692-4b77-964a-0784a8e54ff1
11,430,attack-pattern--2c4d4e92-0ccf-4a97-b54c-86d662988a53
5,448,attack-pattern--b6075259-dba3-44e9-87c7-e954f37ec0d5
5,455,attack-pattern--348f1eef-964b-4eb6-bb53-69b3dcb0c643
5,456,attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce
9,457,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
13,458,attack-pattern--cca0ccb6-a068-4574-a722-b1556f86833a
4,470,attack-pattern--7f0ca133-88c4-40c6-a62f-b3083a7fbc2e
11,470,attack-pattern--7f0ca133-88c4-40c6-a62f-b3083a7fbc2e
